"X.1","X","name","album","release_date","track_number","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
1187,1186,"Mary's Song (Oh My My My)","Taylor Swift","2006-10-24",10,"2QrQCMel6v2JiLxqrg4p2O",0.0177,0.403,0.627,0,0.182,-5.28,0.0292,74.9,0.374,53,213080
1189,1188,"I'm Only Me When I'm With You","Taylor Swift","2006-10-24",12,"0JIdBrXGSJXS72zjF9ss9u",0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,53,213053
871,870,"Innocent","Speak Now","2010-10-25",11,"5GPwN5iZ9ZMSXAkppj4Uvv",0.186,0.552,0.608,0,0.125,-5.29,0.0259,134.05,0.17,52,302253
1182,1181,"Cold As You","Taylor Swift","2006-10-24",5,"7an1exwMnfYRcdVQm0yDev",0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,0.261,52,239013
875,874,"Mine - POP Mix","Speak Now","2010-10-25",1,"0GxW5K0qzrq7L1jwSY5OmY",0.00461,0.696,0.768,1.21e-06,0.101,-3.863,0.0308,121.05,0.692,51,230546
962,961,"Back To December - Acoustic","Speak Now (Deluxe Edition)","2010-10-25",18,"6IH2Z54gYPLqgJtxZjX80i",0.748,0.541,0.453,0,0.2,-6.459,0.0266,141.757,0.377,51,292560
1181,1180,"A Place in this World","Taylor Swift","2006-10-24",4,"73OX8GdpOeGzKC6OvGSbsv",0.051,0.576,0.777,0,0.32,-2.881,0.0324,115.028,0.428,51,199200
961,960,"Superman","Speak Now (Deluxe Edition)","2010-10-25",17,"2R7C9dDqv1UPycvepBFziA",0.0268,0.582,0.765,1.95e-06,0.103,-3.648,0.0324,131.982,0.559,50,275960
963,962,"Haunted - Acoustic Version","Speak Now (Deluxe Edition)","2010-10-25",19,"62rlxI6g2PNaWsHoiRryto",0.842,0.563,0.443,0,0.293,-5.078,0.0247,80.962,0.313,50,217613
1184,1183,"Tied Together with a Smile","Taylor Swift","2006-10-24",7,"6K0CJLVXqbGMeJSmJ4ENKK",0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,0.192,50,248106
1185,1184,"Stay Beautiful","Taylor Swift","2006-10-24",8,"2ZoOmCSgj0ypVAmGd1ve4y",0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,0.504,50,236053
1192,1191,"Teardrops on My Guitar - Pop Version","Taylor Swift","2006-10-24",15,"4pJi1rVt9GNegU9kywjg4z",0.0402,0.459,0.753,0,0.0863,-3.827,0.0537,199.997,0.483,50,179066
1183,1182,"The Outside","Taylor Swift","2006-10-24",6,"2QA3IixpRcKyOdG7XDzRgv",0.00491,0.589,0.805,0,0.24,-4.055,0.0293,112.982,0.591,49,207106
1190,1189,"Invisible","Taylor Swift","2006-10-24",13,"5OOd01o2YS1QFwdpVLds3r",0.637,0.612,0.394,0,0.147,-5.723,0.0243,96.001,0.233,49,203226
714,713,"The Last Time","Red (Deluxe Edition)","2012-10-22",10,"2Tz4JnXZOcjcp8fWfMjBBk",0.035,0.505,0.443,3.15e-06,0.0906,-7.039,0.0276,94.069,0.123,48,299013
1191,1190,"A Perfectly Good Heart","Taylor Swift","2006-10-24",14,"1spLfUJxtyVyiKKTegQ2r4",0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,0.268,48,220146
1064,1063,"Forever & Always","Fearless","2008-11-11",11,"47HtKpfzpAt8rQjjXWotFj",0.0752,0.608,0.821,0,0.11,-4.985,0.0576,128.042,0.544,47,225320
